,subject,predicate,object,from,until,object_has_years,subject_has_years
351,Kim Hyo-jin,was born in,South Korea,1984-02-10,1984-02-10,False,False
352,Lee Tae-sung,was born in,South Korea,1985-04-21,1985-04-21,False,False
353,Shim Yi-young,was born in,South Korea,1980-01-31,1980-01-31,False,False
354,Kim Ho-jin,was born in,South Korea,1970-05-05,1970-05-05,False,False
355,Shin Ae-ra,was born in,South Korea,1969-07-03,1969-07-03,False,False
356,Son Ji-chang,was born in,South Korea,1970-02-20,1970-02-20,False,False
357,Lee Eung-kyung,was born in,South Korea,1966-02-03,1966-02-03,False,False
358,Kaang Bong-kiun,was born in,South Korea,1961-##-##,1961-##-##,False,False
359,Lee Jin-woo (actor),was born in,South Korea,1969-01-25,1969-01-25,False,False
360,Choi Eun-hee,was born in,South Korea,1926-11-20,1926-11-20,False,False
361,Hong Eun-hee,was born in,South Korea,1980-02-17,1980-02-17,False,False
362,Son Jun-ho (actor),was born in,South Korea,1983-03-18,1983-03-18,False,False
363,Athena Chu,was born in,British Hong Kong,1971-10-25,1971-10-25,False,False
364,Henry Lee Junior,was born in,British Hong Kong,1958-03-18,1958-03-18,False,False
365,Maggie Cheung,was born in,British Hong Kong,1964-09-20,1964-09-20,False,False
366,Chapman To,was born in,British Hong Kong,1972-06-08,1972-06-08,False,False
367,William Anders,was born in,British Hong Kong,1933-10-17,1933-10-17,False,False
368,Paul Wong (musician),was born in,British Hong Kong,1964-03-31,1964-03-31,False,False
369,Cheung Yin-tung,was born in,British Hong Kong,1964-05-01,1964-05-01,False,False
370,Kristal Tin,was born in,British Hong Kong,1977-09-28,1977-09-28,False,False
371,Candice Yu,was born in,British Hong Kong,1959-10-22,1959-10-22,False,False
372,Pinky Lai,was born in,British Hong Kong,1951-03-20,1951-03-20,False,False
373,Emily Lau,was born in,British Hong Kong,1952-01-21,1952-01-21,False,False
374,Edith Frank,was born in,Aachen,1900-01-16,1900-01-16,False,False
375,Ludwig Mies van der Rohe,was born in,Aachen,1886-03-27,1886-03-27,False,False
376,Hywel Simons,was born in,Neath,1970-02-10,1970-02-10,False,False
377,Katherine Jenkins,was born in,Neath,1980-06-29,1980-06-29,False,False
378,William Squire,was born in,Neath,1917-04-29,1917-04-29,False,False
379,Alfred G. Gilman,was born in,"New Haven, Connecticut",1941-07-01,1941-07-01,False,False
380,Josiah Willard Gibbs,was born in,"New Haven, Connecticut",1839-02-11,1839-02-11,False,False
381,John Bedford Lloyd,was born in,"New Haven, Connecticut",1956-01-02,1956-01-02,False,False
382,Deane Keller,was born in,"New Haven, Connecticut",1901-12-14,1901-12-14,False,False
383,Michael G. Moye,was born in,"New Haven, Connecticut",1954-08-11,1954-08-11,False,False
384,John Huggins,was born in,"New Haven, Connecticut",1945-02-11,1945-02-11,False,False
385,Henry Baldwin (judge),was born in,"New Haven, Connecticut",1780-01-14,1780-01-14,False,False
386,Harry Myers,was born in,"New Haven, Connecticut",1882-09-05,1882-09-05,False,False
387,James Campbell Matthews,was born in,"New Haven, Connecticut",1844-11-06,1844-11-06,False,False
388,Elliot See,was born in,Dallas,1927-07-23,1927-07-23,False,False
389,Bebe Daniels,was born in,Dallas,1901-01-14,1901-01-14,False,False
390,Robert Lee Moore,was born in,Dallas,1882-11-14,1882-11-14,False,False
391,Harriet Miers,was born in,Dallas,1945-08-10,1945-08-10,False,False
392,Stephanie March,was born in,Dallas,1974-07-23,1974-07-23,False,False
393,Aaron Spelling,was born in,Dallas,1923-04-22,1923-04-22,False,False
394,Melinda Gates,was born in,Dallas,1964-08-15,1964-08-15,False,False
395,Scoot McNairy,was born in,Dallas,1977-11-11,1977-11-11,False,False
396,Clayton Kershaw,was born in,Dallas,1988-03-19,1988-03-19,False,False
397,JoGayle Howard,was born in,Dallas,1951-05-20,1951-05-20,False,False
398,Amy Acker,was born in,Dallas,1976-12-05,1976-12-05,False,False
399,Olivier Assayas,was born in,Paris,1955-01-25,1955-01-25,False,False
400,Eric Garris,was born in,Paris,1953-12-24,1953-12-24,False,False
401,Aline Caroline de Rothschild,was born in,Paris,1867-10-21,1867-10-21,False,False
402,Béatrice Schönberg,was born in,Paris,1953-05-09,1953-05-09,False,False
403,Hervé Villechaize,was born in,Paris,1943-04-23,1943-04-23,False,False
404,Xavi Moro,was born in,Paris,1975-05-22,1975-05-22,False,False
405,Sebastian Roché,was born in,Paris,1964-08-04,1964-08-04,False,False
406,Jacques Chirac,was born in,Paris,1932-11-29,1932-11-29,False,False
407,Frédéric Salat-Baroux,was born in,Paris,1963-07-12,1963-07-12,False,False
408,Elizabeth F. Neufeld,was born in,Paris,1928-09-27,1928-09-27,False,False
409,Jean Genet,was born in,Paris,1910-12-19,1910-12-19,False,False
410,Corinne Calvet,was born in,Paris,1925-04-30,1925-04-30,False,False
411,Rachel Rosenthal,was born in,Paris,1926-11-09,1926-11-09,False,False
412,Micheline Cheirel,was born in,Paris,1917-04-12,1917-04-12,False,False
413,Michel Déon,was born in,Paris,1919-08-04,1919-08-04,False,False
414,Rachida Brakni,was born in,Paris,1977-02-15,1977-02-15,False,False
415,Mia Hansen-Løve,was born in,Paris,1981-02-05,1981-02-05,False,False
416,Lucie Aubrac,was born in,Paris,1912-06-29,1912-06-29,False,False
417,Roman Polanski,was born in,Paris,1933-08-18,1933-08-18,False,False
418,Joris-Karl Huysmans,was born in,Paris,1848-02-05,1848-02-05,False,False
419,Victor Louis,was born in,Paris,1731-##-##,1731-##-##,False,False
420,Anne-Aymone Giscard d'Estaing,was born in,Paris,1933-04-10,1933-04-10,False,False
421,Roger Vadim,was born in,Paris,1928-01-26,1928-01-26,False,False
422,Daniel Pauly,was born in,Paris,1946-05-02,1946-05-02,False,False
423,Jean-Louis Borloo,was born in,Paris,1951-04-07,1951-04-07,False,False
424,André Weil,was born in,Paris,1906-05-06,1906-05-06,False,False
425,Germaine de Staël,was born in,Paris,1766-04-22,1766-04-22,False,False
426,François Baroin,was born in,Paris,1965-06-21,1965-06-21,False,False
427,Jacqueline Piatigorsky,was born in,Paris,1911-11-06,1911-11-06,False,False
428,Marcel Dalio,was born in,Paris,1899-11-23,1899-11-23,False,False
429,Christine Lagarde,was born in,Paris,1956-01-01,1956-01-01,False,False
430,Philippe de Broca,was born in,Paris,1933-03-15,1933-03-15,False,False
431,Pierre Curie,was born in,Paris,1859-05-15,1859-05-15,False,False
432,Denise Kandel,was born in,Paris,1933-02-27,1933-02-27,False,False
433,Claude Chirac,was born in,Paris,1962-12-06,1962-12-06,False,False
434,Anouk Aimée,was born in,Paris,1932-04-27,1932-04-27,False,False
435,Jean-Luc Godard,was born in,Paris,1930-12-03,1930-12-03,False,False
436,Guy de Rothschild,was born in,Paris,1909-05-21,1909-05-21,False,False
437,Brigitte Bardot,was born in,Paris,1934-09-28,1934-09-28,False,False
438,Frédéric Joliot-Curie,was born in,Paris,1900-03-19,1900-03-19,False,False
439,Pierre Sudreau,was born in,Paris,1919-05-13,1919-05-13,False,False
440,Emmanuelle Seigner,was born in,Paris,1966-06-22,1966-06-22,False,False
441,Henri Becquerel,was born in,Paris,1852-12-15,1852-12-15,False,False
442,Liliane Bettencourt,was born in,Paris,1922-10-21,1922-10-21,False,False
443,Luc Besson,was born in,Paris,1959-03-18,1959-03-18,False,False
444,Anne Parillaud,was born in,Paris,1960-05-06,1960-05-06,False,False
445,Annie Girardot,was born in,Paris,1931-10-25,1931-10-25,False,False
446,Recep Tayyip Erdoğan,was born in,Turkey,1954-02-26,1954-02-26,False,False
447,İsmail Kahraman,was born in,Turkey,1940-##-##,1940-##-##,False,False
448,Kenan Doğulu,was born in,Turkey,1974-05-31,1974-05-31,False,False
449,Abdüllatif Şener,was born in,Turkey,1954-##-##,1954-##-##,False,False
450,Meshulam Riklis,was born in,Turkey,1923-12-02,1923-12-02,False,False
451,Mehmet Ali Şahin,was born in,Turkey,1950-09-16,1950-09-16,False,False
452,Emine Erdoğan,was born in,Turkey,1955-02-16,1955-02-16,False,False
453,Sinan Bolat,was born in,Turkey,1988-09-03,1988-09-03,False,False
454,Ayhan Şahenk,was born in,Turkey,1929-06-11,1929-06-11,False,False
455,Birkan Sokullu,was born in,Turkey,1985-10-06,1985-10-06,False,False
456,Hicri Fişek,was born in,Turkey,1918-09-22,1918-09-22,False,False
457,Tarık Akan,was born in,Turkey,1949-12-13,1949-12-13,False,False
458,Beren Saat,was born in,Turkey,1984-02-26,1984-02-26,False,False
459,Aydın Menderes,was born in,Turkey,1946-05-05,1946-05-05,False,False
460,Ufukhan Bayraktar,was born in,Turkey,1986-01-09,1986-01-09,False,False
461,Sinan Tuzcu,was born in,Turkey,1977-07-10,1977-07-10,False,False
462,Necmettin Erbakan,was born in,Turkey,1926-10-29,1926-10-29,False,False
463,Turgut Özal,was born in,Turkey,1927-10-13,1927-10-13,False,False
464,Dolunay Soysert,was born in,Turkey,1973-03-25,1973-03-25,False,False
465,Abdullah Gül,was born in,Turkey,1949-10-29,1949-10-29,False,False
466,Aydın Doğan,was born in,Turkey,1936-04-15,1936-04-15,False,False
467,Bülent Arınç,was born in,Turkey,1948-05-25,1948-05-25,False,False
468,Şadan Fişek,was born in,Turkey,1922-02-28,1922-02-28,False,False
469,Meral Okay,was born in,Turkey,1959-09-20,1959-09-20,False,False
470,Tolgahan Sayışman,was born in,Turkey,1981-12-17,1981-12-17,False,False
471,Serdar Kulbilge,was born in,Turkey,1980-07-07,1980-07-07,False,False
472,Hayrünnisa Gül,was born in,Turkey,1964-08-18,1964-08-18,False,False
473,Hollingsworth Morse,was born in,Los Angeles,1910-12-16,1910-12-16,False,False
474,Holly Palance,was born in,Los Angeles,1950-08-05,1950-08-05,False,False
475,Freddie Prinze Jr.,was born in,Los Angeles,1976-03-08,1976-03-08,False,False
476,Gerry Day,was born in,Los Angeles,1922-01-27,1922-01-27,False,False
477,George Eckstein,was born in,Los Angeles,1928-05-03,1928-05-03,False,False
478,Jennifer Meyer,was born in,Los Angeles,1977-04-23,1977-04-23,False,False
479,Harris Yulin,was born in,Los Angeles,1937-11-05,1937-11-05,False,False
480,William Travilla,was born in,Los Angeles,1920-03-22,1920-03-22,False,False
481,Harry Shearer,was born in,Los Angeles,1943-12-23,1943-12-23,False,False
482,Jonathan Silverman,was born in,Los Angeles,1966-08-05,1966-08-05,False,False
483,Marion Burns,was born in,Los Angeles,1907-08-09,1907-08-09,False,False
484,Lela Bliss,was born in,Los Angeles,1896-05-11,1896-05-11,False,False
485,Lindsay Wagner,was born in,Los Angeles,1949-06-22,1949-06-22,False,False
486,Judy Nugent,was born in,Los Angeles,1940-08-22,1940-08-22,False,False
487,Jenna Stern,was born in,Los Angeles,1967-09-23,1967-09-23,False,False
488,James Cromwell,was born in,Los Angeles,1940-01-27,1940-01-27,False,False
489,Leigh Brackett,was born in,Los Angeles,1915-12-07,1915-12-07,False,False
490,Noel Blanc,was born in,Los Angeles,1938-10-19,1938-10-19,False,False
491,Lesley Boone,was born in,Los Angeles,1968-02-25,1968-02-25,False,False
492,Judy Pace,was born in,Los Angeles,1942-06-15,1942-06-15,False,False
493,Efren Ramirez,was born in,Los Angeles,1973-10-02,1973-10-02,False,False
494,Michael Saucedo,was born in,Los Angeles,1970-07-11,1970-07-11,False,False
495,Judy Chu,was born in,Los Angeles,1953-07-07,1953-07-07,False,False
496,Kim Kardashian,was born in,Los Angeles,1980-10-21,1980-10-21,False,False
497,K. T. Stevens,was born in,Los Angeles,1919-07-20,1919-07-20,False,False
498,Allan Wu,was born in,Los Angeles,1972-06-11,1972-06-11,False,False
499,Kathleen Kinmont,was born in,Los Angeles,1965-02-03,1965-02-03,False,False
500,Ryan O'Neal,was born in,Los Angeles,1941-04-20,1941-04-20,False,False
501,Troian Bellisario,was born in,Los Angeles,1985-10-28,1985-10-28,False,False
502,Florence Meyer Blumenthal,was born in,Los Angeles,1875-##-##,1875-##-##,False,False
503,William R. Moses,was born in,Los Angeles,1959-11-17,1959-11-17,False,False
504,David Gest,was born in,Los Angeles,1953-05-11,1953-05-11,False,False
505,Jerry Goldsmith,was born in,Los Angeles,1929-02-10,1929-02-10,False,False
506,Dickie Moore (actor),was born in,Los Angeles,1925-09-12,1925-09-12,False,False
507,Elizabeth Daily,was born in,Los Angeles,1961-09-11,1961-09-11,False,False
508,Willis Lamb,was born in,Los Angeles,1913-07-12,1913-07-12,False,False
509,Michele Lee,was born in,Los Angeles,1942-06-24,1942-06-24,False,False
510,Dwayne Hickman,was born in,Los Angeles,1934-05-18,1934-05-18,False,False
511,Emily Deschanel,was born in,Los Angeles,1976-10-11,1976-10-11,False,False
512,James Mitchum,was born in,Los Angeles,1941-05-08,1941-05-08,False,False
513,Joan Woodbury,was born in,Los Angeles,1915-12-17,1915-12-17,False,False
514,Kim Hamilton,was born in,Los Angeles,1932-09-12,1932-09-12,False,False
515,Wendy Kilbourne,was born in,Los Angeles,1964-06-29,1964-06-29,False,False
516,Brendan I. Koerner,was born in,Los Angeles,1974-09-21,1974-09-21,False,False
517,Joy Page,was born in,Los Angeles,1924-11-09,1924-11-09,False,False
518,Theodore Harold Maiman,was born in,Los Angeles,1927-07-11,1927-07-11,False,False
519,Charles Shyer,was born in,Los Angeles,1951-10-11,1951-10-11,False,False
520,Patricia Duff,was born in,Los Angeles,1954-04-12,1954-04-12,False,False
521,Brennan Brown,was born in,Los Angeles,1968-11-23,1968-11-23,False,False
522,Norman Chandler,was born in,Los Angeles,1899-09-14,1899-09-14,False,False
523,Lela Rochon,was born in,Los Angeles,1964-04-17,1964-04-17,False,False
524,John Lahr,was born in,Los Angeles,1941-07-12,1941-07-12,False,False
525,Julie Cobb,was born in,Los Angeles,1947-05-29,1947-05-29,False,False
526,Edward James Olmos,was born in,Los Angeles,1947-02-24,1947-02-24,False,False
527,Irene Hervey,was born in,Los Angeles,1909-07-11,1909-07-11,False,False
528,Marge Champion,was born in,Los Angeles,1919-09-02,1919-09-02,False,False
529,Shelby Chong,was born in,Los Angeles,1948-02-01,1948-02-01,False,False
530,Larry Niven,was born in,Los Angeles,1938-04-30,1938-04-30,False,False
531,Gale Anne Hurd,was born in,Los Angeles,1955-10-25,1955-10-25,False,False
532,Barbara Hafer,was born in,Los Angeles,1943-08-01,1943-08-01,False,False
533,Jeanette Nolan,was born in,Los Angeles,1911-12-30,1911-12-30,False,False
534,Mary Jo Deschanel,was born in,Los Angeles,1945-11-25,1945-11-25,False,False
535,Marilyn Monroe,was born in,Los Angeles,1926-06-01,1926-06-01,False,False
536,Merv Adelson,was born in,Los Angeles,1929-10-23,1929-10-23,False,False
537,Sasha Alexander,was born in,Los Angeles,1973-05-17,1973-05-17,False,False
538,Richard Hilton,was born in,Los Angeles,1955-08-17,1955-08-17,False,False
539,Jack Hill,was born in,Los Angeles,1933-01-28,1933-01-28,False,False
540,Tina Sinatra,was born in,Los Angeles,1948-06-20,1948-06-20,False,False
541,Michael Freedman,was born in,Los Angeles,1951-04-21,1951-04-21,False,False
542,Kevin P. Chilton,was born in,Los Angeles,1954-11-03,1954-11-03,False,False
543,Eugene Merle Shoemaker,was born in,Los Angeles,1928-04-28,1928-04-28,False,False
544,Cindy Ambuehl,was born in,Los Angeles,1965-01-31,1965-01-31,False,False
545,Juliette Lewis,was born in,Los Angeles,1973-06-21,1973-06-21,False,False
546,John N. Mather,was born in,Los Angeles,1942-06-09,1942-06-09,False,False
547,Ashley Hamilton,was born in,Los Angeles,1974-09-30,1974-09-30,False,False
548,Josephine Wayne,was born in,Los Angeles,1908-05-13,1908-05-13,False,False
549,Victoria Carroll,was born in,Los Angeles,1941-01-21,1941-01-21,False,False
550,Maggie Roswell,was born in,Los Angeles,1952-11-14,1952-11-14,False,False
551,Carmen de Lavallade,was born in,Los Angeles,1931-03-06,1931-03-06,False,False
552,Don Oreck,was born in,Los Angeles,1930-08-31,1930-08-31,False,False
553,Gloria Grahame,was born in,Los Angeles,1923-11-28,1923-11-28,False,False
554,America Ferrera,was born in,Los Angeles,1984-04-18,1984-04-18,False,False
555,Gloria DeHaven,was born in,Los Angeles,1925-07-23,1925-07-23,False,False
556,Brenda Benet,was born in,Los Angeles,1945-08-14,1945-08-14,False,False
557,Heidi Lenhart,was born in,Los Angeles,1973-08-22,1973-08-22,False,False
558,John Drew Barrymore,was born in,Los Angeles,1932-06-04,1932-06-04,False,False
559,Linda Larkin,was born in,Los Angeles,1970-03-20,1970-03-20,False,False
560,Roy W. Hill,was born in,Los Angeles,1899-12-01,1899-12-01,False,False
561,Nancy Guild,was born in,Los Angeles,1925-10-11,1925-10-11,False,False
562,Patrick Fischler,was born in,Los Angeles,1969-12-29,1969-12-29,False,False
563,Leland H. Hartwell,was born in,Los Angeles,1939-10-30,1939-10-30,False,False
564,John D. Roberts,was born in,Los Angeles,1918-06-08,1918-06-08,False,False
565,Mary Kay Bergman,was born in,Los Angeles,1961-06-05,1961-06-05,False,False
566,Carl Friedrich von Weizsäcker,was born in,Kiel,1912-06-28,1912-06-28,False,False
567,Max Planck,was born in,Kiel,1858-04-23,1858-04-23,False,False
568,Gary Filmon,was born in,Winnipeg,1942-08-24,1942-08-24,False,False
569,Nia Vardalos,was born in,Winnipeg,1962-09-24,1962-09-24,False,False
570,Fletcher Markle,was born in,Winnipeg,1921-03-27,1921-03-27,False,False
571,Terry Stratton,was born in,Winnipeg,1938-03-16,1938-03-16,False,False
572,Janice Filmon,was born in,Winnipeg,1943-##-##,1943-##-##,False,False
573,Daniel Gillies,was born in,Winnipeg,1976-03-14,1976-03-14,False,False
574,Warren Beatty,was born in,"Richmond, Virginia",1937-03-30,1937-03-30,False,False
575,Virgil Goode,was born in,"Richmond, Virginia",1946-10-17,1946-10-17,False,False
576,Antonio Sacre,was born in,Boston,1968-09-23,1968-09-23,False,False
577,Sidney Homer,was born in,Boston,1864-12-09,1864-12-09,False,False
578,Fred Joseph,was born in,Boston,1937-04-22,1937-04-22,False,False
579,Joseph Slepian,was born in,Boston,1891-02-11,1891-02-11,False,False
580,Richard N. Goodwin,was born in,Boston,1931-12-07,1931-12-07,False,False
581,Ian Keith,was born in,Boston,1899-02-27,1899-02-27,False,False
582,Beth Howland,was born in,Boston,1941-05-28,1941-05-28,False,False
583,Bertram Ellis,was born in,Boston,1860-11-20,1860-11-20,False,False
584,Story Musgrave,was born in,Boston,1935-08-19,1935-08-19,False,False
585,William C. Durant,was born in,Boston,1861-12-08,1861-12-08,False,False
586,Jane Alexander,was born in,Boston,1939-10-28,1939-10-28,False,False
587,Horace H. Coolidge,was born in,Boston,1832-02-11,1832-02-11,False,False
588,Edward Charles Pickering,was born in,Boston,1846-07-19,1846-07-19,False,False
589,Margaret Stock,was born in,Boston,1961-##-##,1961-##-##,False,False
